"AI_Agent_API_Name__c","AI_Agent_Session__c","AI_Agent_Version_API_Name__c","Demo_Identifier__c","End_Days__c","End_Time__c","External_ID__c","Request_Summary_Text__c","Response_Summary_Text__c","Start_Days__c","Start_Time__c"
"Skywave_Airlines_Agent","5cf1fc74-d2e4-419d-a70d-26ea7e964a84","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","-6.0","18:01:53","c4711dc2-4336-4718-a3c5-eba54ae10a6b","Whats the weather like in Tokyo?","I can only help with flight bookings and Skywave loyalty questions.","-6.0","18:01:00"
"Skywave_Airlines_Agent","219da89a-c5cd-4fdf-a612-b98d244a5bcb","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","-4.0","08:26:12","777814b0-cbf1-4954-a7bf-34eb9a950a7d","What is my tier status?","You are Gold tier with 14,200 qualifying points this year.","-4.0","08:24:00"
"Skywave_Airlines_Agent","9a68f314-dc0e-48d1-aed7-44af7c2479c9","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","-5.0","10:00:57","5c6b0032-8f66-4e26-aafa-62d8e42beba5","I want to change my seat to a window seat","Sorry, I am unable to change your seat right now. Please try again later.","-5.0","10:00:00"
"Skywave_Airlines_Agent","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","-3.0","19:45:32","3df7c940-8034-48d9-a93f-6bf430a6afc9","Find flights from JFK to HND tomorrow","I found 4 flights for that route. The cheapest is SW1200 at 1pm for $1,280.","-3.0","19:45:00"
"Skywave_Airlines_Agent","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","-3.0","19:46:34","ffe09c93-0099-4967-aee4-48f1db6dd223","Show me my upcoming bookings","You have one upcoming booking — LH 1927 BER-MUC-SFO, confirmed.","-3.0","19:46:13"
"Skywave_Airlines_Agent","5dd36b0a-d270-41be-a9ef-93ffb2daaa6b","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","-3.0","19:51:12","2e70b2a4-5ac0-4c8b-a149-81683b15d699","I want to select seat 1A for my flight","I was unable to retrieve the seat map automatically and could not assign the seat.","-3.0","19:49:54"
"Skywave_Airlines_Agent","a3013d9c-2301-4a5a-a6cd-274731e8af2e","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","-13.0","14:59:52","62e4eab9-1bf3-4eb0-a8df-4b7332c8a43e","I want to change my seat to a window seat","Sorry, I am unable to change your seat right now. Please try again later.","-13.0","14:59:00"
"Skywave_Airlines_Agent","a3013d9c-2301-4a5a-a6cd-274731e8af2e","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","-13.0","15:05:16","00eeb8af-caf3-4d68-ae7f-568a6b518972","What is my tier status?","You are Gold tier with 14,200 qualifying points this year.","-13.0","15:00:58"
"Skywave_Airlines_Agent","92137894-6f0f-4506-ac2b-52fa3776ad99","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","-5.0","10:07:27","b70bb037-0095-463b-ac20-ac5b0c6ad609","Can I move from 23B to an aisle seat?","I could not update your seat assignment. Please contact a service agent.","-5.0","10:07:00"
"Skywave_Airlines_Agent","80c20992-72e7-4c38-af22-3c49576d4458","Skywave_Airlines_Agent","SKYWAVE_PHASE_4_5","-7.0","17:22:29","1767067a-8111-4c9f-a68f-b5a48bf029fe","How many miles do I have?","You currently have 18,450 SkyWave miles. You are at Premier tier.","-7.0","17:20:00"
